party,name,state,district,twitter_username,twitter_id,tweet_count,eligible,included_in_balanced_corpus,exclusion_reason,user_code,source_url
Republican,Juan Ciscomani,AZ,06,RepCiscomani,,50,True,true,,rep103,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Gil Cisneros,CA,31,RepGilCisneros,,50,True,true,,dem055,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Katherine Clark,MA,05,WhipKClark,,50,True,true,,dem105,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Yvette Clarke,NY,09,RepYvetteClarke,,50,True,true,,dem204,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Emanuel Cleaver,MO,05,repcleaver,,50,True,true,,dem044,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Ben Cline,VA,06,RepBenCline,,50,True,true,,rep018,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Michael Cloud,TX,27,RepMichaelCloud,,50,True,true,,rep126,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,James Clyburn,SC,06,WhipClyburn,,15,False,false,,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Andrew Clyde,GA,09,Rep_Clyde,,50,True,true,,rep005,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Steve Cohen,TN,09,RepCohen,,50,True,true,,dem183,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Tom Cole,OK,04,TomColeOK04,,50,True,true,,rep194,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Mike Collins,GA,10,RepMikeCollins,,50,True,true,,rep136,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,James Comer,KY,01,RepJamesComer,,50,True,true,,rep084,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Herb Conaway,NJ,03,RepHerbConaway,,50,True,true,,dem067,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Lou Correa,CA,46,RepLouCorrea,,50,True,true,,dem122,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Jim Costa,CA,21,RepJimCosta,,50,True,true,,dem085,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Joe Courtney,CT,02,RepJoeCourtney,,50,True,true,,dem089,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
