party,name,state,district,twitter_username,twitter_id,source_url,included_in_balanced_corpus,exclusion_reason
Republican,Neal Dunn,FL,02,DrNealDunnFL2,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Chuck Edwards,NC,11,RepChuckEdwards,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Sarah Elfreth,MD,03,RepSarahElfreth,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Jake Ellzey,TX,06,RepEllzey,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Tom Emmer,MN,06,GOPMajorityWhip,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Veronica Escobar,TX,16,RepEscobar,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Adriano Espaillat,NY,13,RepEspaillat,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Ron Estes,KS,04,RepRonEstes,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Dwight Evans,PA,03,RepDwightEvans,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Gabe Evans,CO,08,repgabeevans,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Mike Ezell,MS,04,RepEzell,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Pat Fallon,TX,04,RepPatFallon,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Julie Fedorchak,ND,00,RepFedorchak,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Randy Feenstra,IA,04,RepFeenstra,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Cleo Fields,LA,06,RepFields,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Shomari Figures,AL,02,repscfigures,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Randy Fine,FL,06,RepFine,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Brad Finstad,MN,01,repfinstad,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Michelle Fischbach,MN,07,RepFischbach,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Scott Fitzgerald,WI,05,RepFitzgerald,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Brian Fitzpatrick,PA,01,RepBrianFitz,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Charles Fleischmann,TN,03,RepChuck,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Lizzie Fletcher,TX,07,RepFletcher,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Mike Flood,NE,01,USRepMikeFlood,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Vince Fong,CA,20,RepVinceFong,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Bill Foster,IL,11,RepBillFoster,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Valerie Foushee,NC,04,ValerieFoushee,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Virginia Foxx,NC,05,virginiafoxx,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Lois Frankel,FL,22,RepLoisFrankel,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,C. Franklin,FL,18,RepFranklin,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Laura Friedman,CA,30,RepFriedmanCA,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Maxwell Frost,FL,10,RepMaxwellFrost,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Russell Fry,SC,07,RepRussellFry,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Russ Fulcher,ID,01,RepRussFulcher,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Clay Fuller,GA,14,RepClayFuller,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,John Garamendi,CA,08,RepGaramendi,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Andrew Garbarino,NY,02,RepGarbarino,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Robert Garcia,CA,42,RepRobertGarcia,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Sylvia Garcia,TX,29,RepSylviaGarcia,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Jesús García,IL,04,RepChuyGarcia,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Brandon Gill,TX,26,RepBrandonGill,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Laura Gillen,NY,04,RepLauraGillen,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Carlos Gimenez,FL,28,RepCarlos,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Marie Gluesenkamp Perez,WA,03,RepMGP,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Jared Golden,ME,02,RepGolden,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Craig Goldman,TX,12,RepCraigGoldman,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Daniel Goldman,NY,10,RepDanGoldman,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Jimmy Gomez,CA,34,RepJimmyGomez,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Tony Gonzales,TX,23,RepTonyGonzales,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Vicente Gonzalez,TX,34,RepGonzalez,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Maggie Goodlander,NH,02,RepGoodlander,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Paul Gosar,AZ,09,RepGosar,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Josh Gottheimer,NJ,05,RepJoshG,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Sam Graves,MO,06,RepSamGraves,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Adam Gray,CA,13,RepAdamGrayCA,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Al Green,TX,09,RepAlGreen,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Morgan Griffith,VA,09,RepMGriffith,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Adelita Grijalva,AZ,07,Rep_Grijalva,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Glenn Grothman,WI,06,RepGrothman,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Michael Guest,MS,03,RepMichaelGuest,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Brett Guthrie,KY,02,RepGuthrie,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Harriet Hageman,WY,00,RepHageman,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Abe Hamadeh,AZ,08,RepAbeHamadeh,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Josh Harder,CA,09,RepJoshHarder,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Mike Haridopolos,FL,08,RepHaridopolos,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
